Calendar Year,County,Number of Retail Locations,Non-Ethanol Gas Sales (in gallons),Ethanol Gas Sales (in gallons),Clear and Dyed Diesel Sales (in gallons),Biodiesel Sales (in gallons),Biofuel Distribution Percentage
2015,Adair,12,1810782,7520613,4653234,252780,9.62
2015,Allamakee,17,1343499,6099959,5367840,244533,8.38
2015,Appanoose,15,654927,4868178,2356279,403749,9.35
2015,Audubon,7,188819,1770154,1735839,375979,11.18
2015,Benton,23,1222760,9105211,3529864,171230,10.03
2015,Black Hawk,67,9296676,47990028,8041775,14510649,11.75
2015,Boone,14,1260377,9259121,2084018,332672,9.09
2015,Bremer,15,2158638,9677843,2720216,26776,8.19
2015,Buchanan,17,1276589,8019066,1928789,86804,8.7
2015,Buena Vista,23,1155246,8409080,1866166,112875,9.54
2015,Butler,13,1280217,5992834,1388082,882832,9.27
2015,Calhoun,15,345522,4136925,4183238,0,10.6
2015,Carroll,27,1698945,9320092,10372523,224401,9.42
2015,Cass,17,919650,8229840,4301266,272140,9.6
2015,Cedar,22,1863900,9659187,7406226,12494605,21.02
2015,Cerro Gordo,28,5324371,27580803,6181862,15527150,14.68
2015,Cherokee,16,775277,4505298,1956726,553848,9.75
2015,Chickasaw,14,1386687,5889505,5303527,2828308,12.1
2015,Clarke,10,1270411,6451369,2513288,7775165,22.09
2015,Clay,23,1158533,7568489,6028951,92661,10.26
2015,Clayton,23,1586749,8835365,2732125,213232,9.24
2015,Clinton,29,2309804,18735435,8054892,1403323,9.74
2015,Crawford,14,1055809,5981113,4119098,122001,10.01
2015,Dallas,36,6677977,33975045,4941108,5521460,9.81
2015,Davis,7,230114,2205655,1321005,436173,10.03
2015,Decatur,8,691485,2799583,580339,196698,9.71
2015,Delaware,15,882038,7050094,2429338,498443,9.9
2015,Des Moines,23,3258815,13967064,1507643,0,8.11
2015,Dickinson,27,2133252,8196639,2764982,109544,8.67
2015,Dubuque,69,14138283,84889429,21012050,14488623,9.57
2015,Emmet,10,512902,3779562,1556450,1228191,11.4
2015,Fayette,24,1984946,9661786,3382010,128607,8.73
2015,Floyd,12,613464,4063381,2809318,1375098,10.52
2015,Franklin,14,618633,5594049,4776813,466432,10.16
2015,Fremont,9,675524,7181090,6585028,11220589,27.55
2015,Greene,13,300113,4256089,3146725,80187,9.51
2015,Grundy,14,780649,6493076,6358536,1992512,10.59
2015,Guthrie,14,572443,4547056,1410663,8414075,29.97
2015,Hamilton,17,1172700,7496241,4299226,2988740,12.42
2015,Hancock,14,626172,4196090,4212385,173899,9.65
2015,Hardin,21,801974,6793313,5914902,450294,9.41
2015,Harrison,20,854634,7220530,4395714,110695,9.59
2015,Henry,21,1286049,14917428,2846166,7548818,15.11
2015,Howard,12,535457,3659055,2599056,539430,11.06
2015,Humboldt,13,646865,3816264,3870344,182533,9.91
2015,Ida,11,443887,3017209,1853660,423445,10.91
2015,Iowa,49,3150153,16781250,11760360,2186303,9.45
2015,Jackson,21,1350171,8086875,4943825,24280,9.04
2015,Jasper,29,2294757,16699034,9625634,11096621,16.97
2015,Jefferson,15,995063,5200087,1788782,930517,11.25
2015,Johnson,61,7771791,42345358,6304157,5559199,10.09
2015,Jones,14,1007492,7769995,3508695,0,9.32
2015,Keokuk,12,546722,3694492,1585337,1201706,12.54
2015,Kossuth,18,1065931,6868662,10442957,91229,9.61
2015,Lee,27,2267764,13979176,3052459,1270369,9.88
2015,Linn,94,14292357,81533170,16947137,4959239,9.85
2015,Louisa,10,549581,4052669,1048172,902580,10.79
2015,Lucas,8,539769,2633718,463636,3326195,14.41
2015,Lyon,17,1023345,5640793,3596736,231728,9.28
2015,Madison,11,1004433,6993944,7202281,1301006,10.81
2015,Mahaska,16,942704,9118084,2200401,1675990,10.4
2015,Marion,23,2055283,13797156,3878327,564912,10.01
2015,Marshall,23,2572210,13084803,4110168,1352155,8.98
2015,Mills,11,547598,5101765,2391948,447673,9.76
2015,Mitchell,10,610593,3361419,425320,277808,11.03
2013,ADAMS,,,,,,11.64
2015,Monona,16,1019179,5367719,4111089,1998206,12.69
2015,Montgomery,9,742506,4159570,3592387,0,9.2
2015,Muscatine,20,2401447,13075548,1972696,575617,10.24
2015,O'Brien,22,1002609,6340366,3708138,322856,9.61
2015,Osceola,7,557955,1996610,2429958,34399,7.98
